summoner_name,tier,rank,wins,losses,leaguePoints,queueType
god thunder,CHALLENGER,I,185,143,1210,RANKED_SOLO_5x5
jugklng,CHALLENGER,I,194,128,1812,RANKED_SOLO_5x5
스트레스유발협곡,CHALLENGER,I,175,112,1843,RANKED_SOLO_5x5
radiohead,CHALLENGER,I,302,264,1612,RANKED_SOLO_5x5
bro hena,CHALLENGER,I,305,240,1681,RANKED_SOLO_5x5
으끄으끄,CHALLENGER,I,264,222,1250,RANKED_SOLO_5x5
수명단축협곡,CHALLENGER,I,205,144,1778,RANKED_SOLO_5x5
